,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,date,time,year,day1ofyear,dayofyear,hour,weekday,day,time_diff
274,None,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 11:00:00,3662,2012-10-14,11:00:00,2012,2012-01-01,287,11.0,6,12,3600.0
275,None,282.82,0.0,0.0,57,Mist,mist,2012-10-14 11:00:00,3662,2012-10-14,11:00:00,2012,2012-01-01,287,11.0,6,12,0.0
276,None,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,4076,2012-10-14,12:00:00,2012,2012-01-01,287,12.0,6,12,3600.0
277,None,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,4076,2012-10-14,12:00:00,2012,2012-01-01,287,12.0,6,12,0.0
278,None,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,4076,2012-10-14,12:00:00,2012,2012-01-01,287,12.0,6,12,0.0
279,None,283.75,0.0,0.0,93,Rain,light rain,2012-10-14 13:00:00,4128,2012-10-14,13:00:00,2012,2012-01-01,287,13.0,6,12,3600.0
280,None,283.75,0.0,0.0,93,Mist,mist,2012-10-14 13:00:00,4128,2012-10-14,13:00:00,2012,2012-01-01,287,13.0,6,12,0.0
281,None,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 13:00:00,4128,2012-10-14,13:00:00,2012,2012-01-01,287,13.0,6,12,0.0
282,None,284.09,0.0,0.0,93,Mist,mist,2012-10-14 14:00:00,4358,2012-10-14,14:00:00,2012,2012-01-01,287,14.0,6,12,3600.0
283,None,284.09,0.0,0.0,93,Rain,light rain,2012-10-14 14:00:00,4358,2012-10-14,14:00:00,2012,2012-01-01,287,14.0,6,12,0.0
284,None,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 14:00:00,4358,2012-10-14,14:00:00,2012,2012-01-01,287,14.0,6,12,0.0
285,None,284.55,0.0,0.0,93,Mist,mist,2012-10-14 15:00:00,4342,2012-10-14,15:00:00,2012,2012-01-01,287,15.0,6,12,3600.0
286,None,284.55,0.0,0.0,93,Rain,light rain,2012-10-14 15:00:00,4342,2012-10-14,15:00:00,2012,2012-01-01,287,15.0,6,12,0.0
288,None,284.64,0.0,0.0,93,Rain,light rain,2012-10-14 17:00:00,4271,2012-10-14,17:00:00,2012,2012-01-01,287,17.0,6,12,3600.0
289,None,284.64,0.0,0.0,93,Mist,mist,2012-10-14 17:00:00,4271,2012-10-14,17:00:00,2012,2012-01-01,287,17.0,6,12,0.0
295,None,281.95,0.0,0.0,93,Mist,mist,2012-10-14 23:00:00,1002,2012-10-14,23:00:00,2012,2012-01-01,287,23.0,6,12,3600.0
296,None,281.95,0.0,0.0,93,Fog,fog,2012-10-14 23:00:00,1002,2012-10-14,23:00:00,2012,2012-01-01,287,23.0,6,12,0.0
297,None,281.61,0.0,0.0,93,Mist,mist,2012-10-15 00:00:00,542,2012-10-15,00:00:00,2012,2012-01-01,288,0.0,0,12,3600.0
298,None,281.61,0.0,0.0,93,Fog,fog,2012-10-15 00:00:00,542,2012-10-15,00:00:00,2012,2012-01-01,288,0.0,0,12,0.0
301,None,281.29,0.0,0.0,85,Mist,mist,2012-10-15 03:00:00,335,2012-10-15,03:00:00,2012,2012-01-01,288,3.0,0,12,3600.0
302,None,281.29,0.0,0.0,85,Fog,fog,2012-10-15 03:00:00,335,2012-10-15,03:00:00,2012,2012-01-01,288,3.0,0,12,0.0
303,None,281.02,0.0,0.0,85,Mist,mist,2012-10-15 04:00:00,810,2012-10-15,04:00:00,2012,2012-01-01,288,4.0,0,12,3600.0
304,None,281.02,0.0,0.0,85,Fog,fog,2012-10-15 04:00:00,810,2012-10-15,04:00:00,2012,2012-01-01,288,4.0,0,12,0.0
305,None,280.82,0.0,0.0,85,Mist,mist,2012-10-15 05:00:00,2606,2012-10-15,05:00:00,2012,2012-01-01,288,5.0,0,12,3600.0
306,None,280.82,0.0,0.0,85,Fog,fog,2012-10-15 05:00:00,2606,2012-10-15,05:00:00,2012,2012-01-01,288,5.0,0,12,0.0
358,None,285.72,0.0,0.0,100,Rain,proximity shower rain,2012-10-17 09:00:00,5403,2012-10-17,09:00:00,2012,2012-01-01,290,9.0,2,15,3600.0
359,None,285.72,0.0,0.0,100,Rain,light rain,2012-10-17 09:00:00,5403,2012-10-17,09:00:00,2012,2012-01-01,290,9.0,2,15,0.0
400,None,280.44,0.0,0.0,87,Drizzle,light intensity drizzle,2012-10-19 02:00:00,353,2012-10-19,02:00:00,2012,2012-01-01,292,2.0,4,16,3600.0
401,None,280.44,0.0,0.0,87,Mist,mist,2012-10-19 02:00:00,353,2012-10-19,02:00:00,2012,2012-01-01,292,2.0,4,16,0.0
403,None,279.79,0.0,0.0,87,Drizzle,light intensity drizzle,2012-10-19 04:00:00,720,2012-10-19,04:00:00,2012,2012-01-01,292,4.0,4,16,3600.0
404,None,279.79,0.0,0.0,87,Mist,mist,2012-10-19 04:00:00,720,2012-10-19,04:00:00,2012,2012-01-01,292,4.0,4,16,0.0
405,None,279.79,0.0,0.0,87,Rain,light rain,2012-10-19 04:00:00,720,2012-10-19,04:00:00,2012,2012-01-01,292,4.0,4,16,0.0
406,None,279.79,0.0,0.0,87,Drizzle,drizzle,2012-10-19 04:00:00,720,2012-10-19,04:00:00,2012,2012-01-01,292,4.0,4,16,0.0
407,None,279.74,0.0,0.0,87,Mist,mist,2012-10-19 05:00:00,2370,2012-10-19,05:00:00,2012,2012-01-01,292,5.0,4,16,3600.0
408,None,279.74,0.0,0.0,87,Rain,light rain,2012-10-19 05:00:00,2370,2012-10-19,05:00:00,2012,2012-01-01,292,5.0,4,16,0.0
409,None,279.65,0.0,0.0,87,Drizzle,light intensity drizzle,2012-10-19 06:00:00,5162,2012-10-19,06:00:00,2012,2012-01-01,292,6.0,4,16,3600.0
410,None,279.65,0.0,0.0,87,Mist,mist,2012-10-19 06:00:00,5162,2012-10-19,06:00:00,2012,2012-01-01,292,6.0,4,16,0.0
411,None,279.65,0.0,0.0,87,Rain,light rain,2012-10-19 06:00:00,5162,2012-10-19,06:00:00,2012,2012-01-01,292,6.0,4,16,0.0
412,None,279.45,0.0,0.0,91,Mist,mist,2012-10-19 07:00:00,5777,2012-10-19,07:00:00,2012,2012-01-01,292,7.0,4,16,3600.0
413,None,279.45,0.0,0.0,91,Rain,moderate rain,2012-10-19 07:00:00,5777,2012-10-19,07:00:00,2012,2012-01-01,292,7.0,4,16,0.0
414,None,279.22,0.0,0.0,91,Drizzle,light intensity drizzle,2012-10-19 08:00:00,5235,2012-10-19,08:00:00,2012,2012-01-01,292,8.0,4,16,3600.0
415,None,279.22,0.0,0.0,91,Mist,mist,2012-10-19 08:00:00,5235,2012-10-19,08:00:00,2012,2012-01-01,292,8.0,4,16,0.0
416,None,279.22,0.0,0.0,91,Rain,light rain,2012-10-19 08:00:00,5235,2012-10-19,08:00:00,2012,2012-01-01,292,8.0,4,16,0.0
417,None,279.35,0.0,0.0,91,Rain,light rain,2012-10-19 09:00:00,4606,2012-10-19,09:00:00,2012,2012-01-01,292,9.0,4,17,3600.0
418,None,279.35,0.0,0.0,91,Mist,mist,2012-10-19 09:00:00,4606,2012-10-19,09:00:00,2012,2012-01-01,292,9.0,4,17,0.0
424,None,281.94,0.0,0.0,92,Mist,mist,2012-10-19 15:00:00,5849,2012-10-19,15:00:00,2012,2012-01-01,292,15.0,4,17,3600.0
425,None,281.94,0.0,0.0,92,Drizzle,light intensity drizzle,2012-10-19 15:00:00,5849,2012-10-19,15:00:00,2012,2012-01-01,292,15.0,4,17,0.0
432,None,280.43,0.0,0.0,92,Drizzle,drizzle,2012-10-19 22:00:00,3077,2012-10-19,22:00:00,2012,2012-01-01,292,22.0,4,17,3600.0
433,None,280.43,0.0,0.0,92,Drizzle,light intensity drizzle,2012-10-19 22:00:00,3077,2012-10-19,22:00:00,2012,2012-01-01,292,22.0,4,17,0.0
434,None,280.1,0.0,0.0,92,Mist,mist,2012-10-19 23:00:00,2051,2012-10-19,23:00:00,2012,2012-01-01,292,23.0,4,17,3600.0
435,None,280.1,0.0,0.0,92,Rain,light rain,2012-10-19 23:00:00,2051,2012-10-19,23:00:00,2012,2012-01-01,292,23.0,4,17,0.0
436,None,280.1,0.0,0.0,92,Drizzle,light intensity drizzle,2012-10-19 23:00:00,2051,2012-10-19,23:00:00,2012,2012-01-01,292,23.0,4,17,0.0
437,None,280.06,0.0,0.0,92,Rain,light rain,2012-10-20 00:00:00,1270,2012-10-20,00:00:00,2012,2012-01-01,293,0.0,5,17,3600.0
438,None,280.06,0.0,0.0,92,Rain,moderate rain,2012-10-20 00:00:00,1270,2012-10-20,00:00:00,2012,2012-01-01,293,0.0,5,17,0.0
439,None,280.28,0.0,0.0,96,Drizzle,drizzle,2012-10-20 01:00:00,773,2012-10-20,01:00:00,2012,2012-01-01,293,1.0,5,17,3600.0
440,None,280.28,0.0,0.0,96,Rain,light rain,2012-10-20 01:00:00,773,2012-10-20,01:00:00,2012,2012-01-01,293,1.0,5,17,0.0
442,None,280.62,0.0,0.0,96,Drizzle,light intensity drizzle,2012-10-20 03:00:00,432,2012-10-20,03:00:00,2012,2012-01-01,293,3.0,5,17,3600.0
443,None,280.62,0.0,0.0,96,Mist,mist,2012-10-20 03:00:00,432,2012-10-20,03:00:00,2012,2012-01-01,293,3.0,5,17,0.0
444,None,280.91,0.0,0.0,96,Mist,mist,2012-10-20 04:00:00,401,2012-10-20,04:00:00,2012,2012-01-01,293,4.0,5,17,3600.0
445,None,280.91,0.0,0.0,96,Drizzle,drizzle,2012-10-20 04:00:00,401,2012-10-20,04:00:00,2012,2012-01-01,293,4.0,5,17,0.0
446,None,280.91,0.0,0.0,96,Rain,light rain,2012-10-20 04:00:00,401,2012-10-20,04:00:00,2012,2012-01-01,293,4.0,5,17,0.0
447,None,280.96,0.0,0.0,96,Rain,light rain,2012-10-20 05:00:00,759,2012-10-20,05:00:00,2012,2012-01-01,293,5.0,5,17,3600.0
448,None,280.96,0.0,0.0,96,Mist,mist,2012-10-20 05:00:00,759,2012-10-20,05:00:00,2012,2012-01-01,293,5.0,5,17,0.0
449,None,280.96,0.0,0.0,96,Drizzle,drizzle,2012-10-20 05:00:00,759,2012-10-20,05:00:00,2012,2012-01-01,293,5.0,5,17,0.0
450,None,281.13,0.0,0.0,96,Rain,light rain,2012-10-20 06:00:00,1313,2012-10-20,06:00:00,2012,2012-01-01,293,6.0,5,17,3600.0
451,None,281.13,0.0,0.0,96,Mist,mist,2012-10-20 06:00:00,1313,2012-10-20,06:00:00,2012,2012-01-01,293,6.0,5,17,0.0
452,None,281.13,0.0,0.0,96,Drizzle,light intensity drizzle,2012-10-20 06:00:00,1313,2012-10-20,06:00:00,2012,2012-01-01,293,6.0,5,17,0.0
453,None,281.28,0.0,0.0,100,Rain,light rain,2012-10-20 07:00:00,1824,2012-10-20,07:00:00,2012,2012-01-01,293,7.0,5,17,3600.0
454,None,281.28,0.0,0.0,100,Mist,mist,2012-10-20 07:00:00,1824,2012-10-20,07:00:00,2012,2012-01-01,293,7.0,5,17,0.0
455,None,281.28,0.0,0.0,100,Drizzle,drizzle,2012-10-20 07:00:00,1824,2012-10-20,07:00:00,2012,2012-01-01,293,7.0,5,17,0.0
456,None,281.19,0.0,0.0,100,Rain,light rain,2012-10-20 08:00:00,2787,2012-10-20,08:00:00,2012,2012-01-01,293,8.0,5,17,3600.0
457,None,281.19,0.0,0.0,100,Mist,mist,2012-10-20 08:00:00,2787,2012-10-20,08:00:00,2012,2012-01-01,293,8.0,5,17,0.0
458,None,281.19,0.0,0.0,100,Drizzle,drizzle,2012-10-20 08:00:00,2787,2012-10-20,08:00:00,2012,2012-01-01,293,8.0,5,17,0.0
459,None,281.7,0.0,0.0,100,Rain,light rain,2012-10-20 09:00:00,3713,2012-10-20,09:00:00,2012,2012-01-01,293,9.0,5,18,3600.0
460,None,281.7,0.0,0.0,100,Drizzle,drizzle,2012-10-20 09:00:00,3713,2012-10-20,09:00:00,2012,2012-01-01,293,9.0,5,18,0.0
461,None,281.7,0.0,0.0,100,Mist,mist,2012-10-20 09:00:00,3713,2012-10-20,09:00:00,2012,2012-01-01,293,9.0,5,18,0.0
462,None,281.7,0.0,0.0,100,Drizzle,light intensity drizzle,2012-10-20 09:00:00,3713,2012-10-20,09:00:00,2012,2012-01-01,293,9.0,5,18,0.0
463,None,282.02,0.0,0.0,100,Rain,light rain,2012-10-20 10:00:00,3815,2012-10-20,10:00:00,2012,2012-01-01,293,10.0,5,18,3600.0
464,None,282.02,0.0,0.0,100,Drizzle,drizzle,2012-10-20 10:00:00,3815,2012-10-20,10:00:00,2012,2012-01-01,293,10.0,5,18,0.0
465,None,282.02,0.0,0.0,100,Mist,mist,2012-10-20 10:00:00,3815,2012-10-20,10:00:00,2012,2012-01-01,293,10.0,5,18,0.0
466,None,282.02,0.0,0.0,100,Rain,moderate rain,2012-10-20 10:00:00,3815,2012-10-20,10:00:00,2012,2012-01-01,293,10.0,5,18,0.0
467,None,282.35,0.0,0.0,100,Rain,light rain,2012-10-20 11:00:00,4339,2012-10-20,11:00:00,2012,2012-01-01,293,11.0,5,18,3600.0
468,None,282.35,0.0,0.0,100,Mist,mist,2012-10-20 11:00:00,4339,2012-10-20,11:00:00,2012,2012-01-01,293,11.0,5,18,0.0
469,None,282.35,0.0,0.0,100,Drizzle,drizzle,2012-10-20 11:00:00,4339,2012-10-20,11:00:00,2012,2012-01-01,293,11.0,5,18,0.0
470,None,282.71,0.0,0.0,100,Rain,heavy intensity rain,2012-10-20 12:00:00,4613,2012-10-20,12:00:00,2012,2012-01-01,293,12.0,5,18,3600.0
471,None,282.71,0.0,0.0,100,Mist,mist,2012-10-20 12:00:00,4613,2012-10-20,12:00:00,2012,2012-01-01,293,12.0,5,18,0.0
472,None,282.71,0.0,0.0,100,Rain,light rain,2012-10-20 12:00:00,4613,2012-10-20,12:00:00,2012,2012-01-01,293,12.0,5,18,0.0
473,None,282.71,0.0,0.0,100,Rain,moderate rain,2012-10-20 12:00:00,4613,2012-10-20,12:00:00,2012,2012-01-01,293,12.0,5,18,0.0
486,None,275.93,0.0,0.0,60,Fog,fog,2012-10-21 08:00:00,1928,2012-10-21,08:00:00,2012,2012-01-01,294,8.0,6,18,28800.0
487,None,275.93,0.0,0.0,60,Mist,mist,2012-10-21 08:00:00,1928,2012-10-21,08:00:00,2012,2012-01-01,294,8.0,6,18,0.0
537,None,285.37,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-24 00:00:00,580,2012-10-24,00:00:00,2012,2012-01-01,297,0.0,2,21,3600.0
538,None,285.37,0.0,0.0,99,Mist,mist,2012-10-24 00:00:00,580,2012-10-24,00:00:00,2012,2012-01-01,297,0.0,2,21,0.0
541,None,285.99,0.0,0.0,100,Mist,mist,2012-10-24 03:00:00,408,2012-10-24,03:00:00,2012,2012-01-01,297,3.0,2,21,3600.0
542,None,285.99,0.0,0.0,100,Haze,haze,2012-10-24 03:00:00,408,2012-10-24,03:00:00,2012,2012-01-01,297,3.0,2,21,0.0
543,None,285.94,0.0,0.0,100,Mist,mist,2012-10-24 04:00:00,793,2012-10-24,04:00:00,2012,2012-01-01,297,4.0,2,21,3600.0
544,None,285.94,0.0,0.0,100,Thunderstorm,proximity thunderstorm,2012-10-24 04:00:00,793,2012-10-24,04:00:00,2012,2012-01-01,297,4.0,2,21,0.0
545,None,285.97,0.0,0.0,90,Mist,mist,2012-10-24 05:00:00,2643,2012-10-24,05:00:00,2012,2012-01-01,297,5.0,2,21,3600.0
546,None,285.97,0.0,0.0,90,Rain,light rain,2012-10-24 05:00:00,2643,2012-10-24,05:00:00,2012,2012-01-01,297,5.0,2,21,0.0
547,None,285.97,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2012-10-24 05:00:00,2643,2012-10-24,05:00:00,2012,2012-01-01,297,5.0,2,21,0.0
548,None,285.73,0.0,0.0,90,Mist,mist,2012-10-24 06:00:00,5593,2012-10-24,06:00:00,2012,2012-01-01,297,6.0,2,21,3600.0
549,None,285.73,0.0,0.0,90,Thunderstorm,thunderstorm with light rain,2012-10-24 06:00:00,5593,2012-10-24,06:00:00,2012,2012-01-01,297,6.0,2,21,0.0
550,None,285.73,0.0,0.0,90,Rain,moderate rain,2012-10-24 06:00:00,5593,2012-10-24,06:00:00,2012,2012-01-01,297,6.0,2,21,0.0
551,None,285.73,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2012-10-24 06:00:00,5593,2012-10-24,06:00:00,2012,2012-01-01,297,6.0,2,21,0.0
552,None,285.5,0.0,0.0,90,Rain,light rain,2012-10-24 07:00:00,5722,2012-10-24,07:00:00,2012,2012-01-01,297,7.0,2,21,3600.0
553,None,285.5,0.0,0.0,90,Mist,mist,2012-10-24 07:00:00,5722,2012-10-24,07:00:00,2012,2012-01-01,297,7.0,2,21,0.0
554,None,285.55,0.0,0.0,90,Drizzle,light intensity drizzle,2012-10-24 08:00:00,5607,2012-10-24,08:00:00,2012,2012-01-01,297,8.0,2,21,3600.0
555,None,285.55,0.0,0.0,90,Mist,mist,2012-10-24 08:00:00,5607,2012-10-24,08:00:00,2012,2012-01-01,297,8.0,2,21,0.0
556,None,285.55,0.0,0.0,90,Rain,light rain,2012-10-24 08:00:00,5607,2012-10-24,08:00:00,2012,2012-01-01,297,8.0,2,21,0.0
557,None,285.55,0.0,0.0,90,Thunderstorm,proximity thunderstorm,2012-10-24 08:00:00,5607,2012-10-24,08:00:00,2012,2012-01-01,297,8.0,2,21,0.0
558,None,285.93,0.0,0.0,90,Drizzle,light intensity drizzle,2012-10-24 09:00:00,5492,2012-10-24,09:00:00,2012,2012-01-01,297,9.0,2,22,3600.0
559,None,285.93,0.0,0.0,90,Mist,mist,2012-10-24 09:00:00,5492,2012-10-24,09:00:00,2012,2012-01-01,297,9.0,2,22,0.0
560,None,285.93,0.0,0.0,90,Rain,moderate rain,2012-10-24 09:00:00,5492,2012-10-24,09:00:00,2012,2012-01-01,297,9.0,2,22,0.0
562,None,286.82,0.0,0.0,90,Mist,mist,2012-10-24 11:00:00,4720,2012-10-24,11:00:00,2012,2012-01-01,297,11.0,2,22,3600.0
563,None,286.82,0.0,0.0,90,Fog,fog,2012-10-24 11:00:00,4720,2012-10-24,11:00:00,2012,2012-01-01,297,11.0,2,22,0.0
564,None,288.36,0.0,0.0,90,Mist,mist,2012-10-24 12:00:00,4982,2012-10-24,12:00:00,2012,2012-01-01,297,12.0,2,22,3600.0
565,None,288.36,0.0,0.0,90,Haze,haze,2012-10-24 12:00:00,4982,2012-10-24,12:00:00,2012,2012-01-01,297,12.0,2,22,0.0
566,None,288.36,0.0,0.0,90,Fog,fog,2012-10-24 12:00:00,4982,2012-10-24,12:00:00,2012,2012-01-01,297,12.0,2,22,0.0
567,None,289.08,0.0,0.0,90,Haze,haze,2012-10-24 13:00:00,5032,2012-10-24,13:00:00,2012,2012-01-01,297,13.0,2,22,3600.0
568,None,289.08,0.0,0.0,90,Mist,mist,2012-10-24 13:00:00,5032,2012-10-24,13:00:00,2012,2012-01-01,297,13.0,2,22,0.0
569,None,289.08,0.0,0.0,90,Fog,fog,2012-10-24 13:00:00,5032,2012-10-24,13:00:00,2012,2012-01-01,297,13.0,2,22,0.0
570,None,289.88,0.0,0.0,90,Mist,mist,2012-10-24 14:00:00,5212,2012-10-24,14:00:00,2012,2012-01-01,297,14.0,2,22,3600.0
571,None,289.88,0.0,0.0,90,Haze,haze,2012-10-24 14:00:00,5212,2012-10-24,14:00:00,2012,2012-01-01,297,14.0,2,22,0.0
572,None,290.24,0.0,0.0,90,Mist,mist,2012-10-24 15:00:00,5661,2012-10-24,15:00:00,2012,2012-01-01,297,15.0,2,22,3600.0
573,None,290.24,0.0,0.0,90,Haze,haze,2012-10-24 15:00:00,5661,2012-10-24,15:00:00,2012,2012-01-01,297,15.0,2,22,0.0
574,None,290.24,0.0,0.0,90,Rain,moderate rain,2012-10-24 15:00:00,5661,2012-10-24,15:00:00,2012,2012-01-01,297,15.0,2,22,0.0
576,None,289.62,0.0,0.0,90,Haze,haze,2012-10-24 17:00:00,5855,2012-10-24,17:00:00,2012,2012-01-01,297,17.0,2,22,3600.0
577,None,289.62,0.0,0.0,90,Mist,mist,2012-10-24 17:00:00,5855,2012-10-24,17:00:00,2012,2012-01-01,297,17.0,2,22,0.0
578,None,289.61,0.0,0.0,90,Haze,haze,2012-10-24 18:00:00,4416,2012-10-24,18:00:00,2012,2012-01-01,297,18.0,2,22,3600.0
579,None,289.61,0.0,0.0,90,Mist,mist,2012-10-24 18:00:00,4416,2012-10-24,18:00:00,2012,2012-01-01,297,18.0,2,22,0.0
581,None,288.34,0.0,0.0,75,Haze,haze,2012-10-24 20:00:00,2877,2012-10-24,20:00:00,2012,2012-01-01,297,20.0,2,22,3600.0
582,None,288.34,0.0,0.0,75,Mist,mist,2012-10-24 20:00:00,2877,2012-10-24,20:00:00,2012,2012-01-01,297,20.0,2,22,0.0
590,None,285.32,0.0,0.0,90,Mist,mist,2012-10-25 04:00:00,809,2012-10-25,04:00:00,2012,2012-01-01,298,4.0,3,22,3600.0
591,None,285.32,0.0,0.0,90,Fog,fog,2012-10-25 04:00:00,809,2012-10-25,04:00:00,2012,2012-01-01,298,4.0,3,22,0.0
594,None,285.2,0.0,0.0,90,Mist,mist,2012-10-25 07:00:00,6036,2012-10-25,07:00:00,2012,2012-01-01,298,7.0,3,22,3600.0
595,None,285.2,0.0,0.0,90,Fog,fog,2012-10-25 07:00:00,6036,2012-10-25,07:00:00,2012,2012-01-01,298,7.0,3,22,0.0
601,None,286.41,0.0,0.0,90,Rain,light rain,2012-10-25 14:00:00,5450,2012-10-25,14:00:00,2012,2012-01-01,298,14.0,3,23,3600.0
602,None,286.41,0.0,0.0,90,Mist,mist,2012-10-25 14:00:00,5450,2012-10-25,14:00:00,2012,2012-01-01,298,14.0,3,23,0.0
603,None,286.41,0.0,0.0,90,Drizzle,light intensity drizzle,2012-10-25 14:00:00,5450,2012-10-25,14:00:00,2012,2012-01-01,298,14.0,3,23,0.0
604,None,286.41,0.0,0.0,90,Drizzle,drizzle,2012-10-25 14:00:00,5450,2012-10-25,14:00:00,2012,2012-01-01,298,14.0,3,23,0.0
605,None,285.8,0.0,0.0,90,Drizzle,light intensity drizzle,2012-10-25 15:00:00,5888,2012-10-25,15:00:00,2012,2012-01-01,298,15.0,3,23,3600.0
606,None,285.8,0.0,0.0,90,Mist,mist,2012-10-25 15:00:00,5888,2012-10-25,15:00:00,2012,2012-01-01,298,15.0,3,23,0.0
607,None,285.8,0.0,0.0,90,Rain,light rain,2012-10-25 15:00:00,5888,2012-10-25,15:00:00,2012,2012-01-01,298,15.0,3,23,0.0
608,None,285.8,0.0,0.0,90,Drizzle,drizzle,2012-10-25 15:00:00,5888,2012-10-25,15:00:00,2012,2012-01-01,298,15.0,3,23,0.0
609,None,285.8,0.0,0.0,90,Rain,moderate rain,2012-10-25 15:00:00,5888,2012-10-25,15:00:00,2012,2012-01-01,298,15.0,3,23,0.0
610,None,285.29,0.0,0.0,90,Rain,light rain,2012-10-25 16:00:00,6473,2012-10-25,16:00:00,2012,2012-01-01,298,16.0,3,23,3600.0
611,None,285.29,0.0,0.0,90,Mist,mist,2012-10-25 16:00:00,6473,2012-10-25,16:00:00,2012,2012-01-01,298,16.0,3,23,0.0
612,None,285.29,0.0,0.0,90,Drizzle,light intensity drizzle,2012-10-25 16:00:00,6473,2012-10-25,16:00:00,2012,2012-01-01,298,16.0,3,23,0.0
613,None,284.77,0.0,0.0,90,Rain,moderate rain,2012-10-25 17:00:00,6488,2012-10-25,17:00:00,2012,2012-01-01,298,17.0,3,23,3600.0
614,None,284.77,0.0,0.0,90,Mist,mist,2012-10-25 17:00:00,6488,2012-10-25,17:00:00,2012,2012-01-01,298,17.0,3,23,0.0
615,None,284.77,0.0,0.0,90,Rain,light rain,2012-10-25 17:00:00,6488,2012-10-25,17:00:00,2012,2012-01-01,298,17.0,3,23,0.0
616,None,284.29,0.0,0.0,90,Drizzle,light intensity drizzle,2012-10-25 18:00:00,5351,2012-10-25,18:00:00,2012,2012-01-01,298,18.0,3,23,3600.0
617,None,284.29,0.0,0.0,90,Mist,mist,2012-10-25 18:00:00,5351,2012-10-25,18:00:00,2012,2012-01-01,298,18.0,3,23,0.0
618,None,284.29,0.0,0.0,90,Rain,moderate rain,2012-10-25 18:00:00,5351,2012-10-25,18:00:00,2012,2012-01-01,298,18.0,3,23,0.0
619,None,284.29,0.0,0.0,90,Rain,light rain,2012-10-25 18:00:00,5351,2012-10-25,18:00:00,2012,2012-01-01,298,18.0,3,23,0.0
620,None,283.79,0.0,0.0,90,Drizzle,light intensity drizzle,2012-10-25 19:00:00,3500,2012-10-25,19:00:00,2012,2012-01-01,298,19.0,3,23,3600.0
621,None,283.79,0.0,0.0,90,Mist,mist,2012-10-25 19:00:00,3500,2012-10-25,19:00:00,2012,2012-01-01,298,19.0,3,23,0.0
622,None,283.79,0.0,0.0,90,Rain,light rain,2012-10-25 19:00:00,3500,2012-10-25,19:00:00,2012,2012-01-01,298,19.0,3,23,0.0
623,None,283.44,0.0,0.0,90,Rain,light rain,2012-10-25 20:00:00,2856,2012-10-25,20:00:00,2012,2012-01-01,298,20.0,3,23,3600.0
624,None,283.44,0.0,0.0,90,Mist,mist,2012-10-25 20:00:00,2856,2012-10-25,20:00:00,2012,2012-01-01,298,20.0,3,23,0.0
625,None,283.44,0.0,0.0,90,Drizzle,drizzle,2012-10-25 20:00:00,2856,2012-10-25,20:00:00,2012,2012-01-01,298,20.0,3,23,0.0
