TRANS_DATE,DSHARES
2019-07-27,18982.235353206084
2019-08-06,18590.206188879787
2019-08-20,18058.80962014761
2019-08-21,17909.615186924028
2019-08-23,17842.071204709013
2019-08-26,17693.30051860612
2019-09-06,17358.35273841371
2019-09-08,17144.6469439255
2019-10-02,16269.52379731735
2019-10-06,16045.016749713228
2019-10-16,15911.133725810005
2019-10-18,15600.50832139534
2019-11-04,15090.33207381439
2019-11-12,14939.940568647988
2019-11-13,14732.141763694182
2019-11-16,14560.836211887163
2019-12-04,14007.284673894874
2019-12-15,13602.709033536084
2019-12-16,14981.200850714546
2019-12-23,13370.779648280255
2020-01-01,13300.302457804357
2020-01-05,12936.193575452475
2020-01-21,12493.955791727858
2020-01-24,12441.464045429657
2020-01-29,12310.807245536113
2020-02-14,11850.751216203014
2020-03-08,11143.32797990723
2020-03-16,11074.510399108392
2020-04-02,10524.972061237137
2020-04-05,10427.068965114615
2020-04-08,10364.026796098125
2020-04-13,10385.403514887614
2020-04-14,10234.67521567544
2020-04-18,10110.961436731373
2020-04-25,9944.562043612179
2020-05-19,9482.235369737264
2020-05-22,9370.440435737566
2020-05-27,9278.911780915532
2020-06-15,8849.414344935858
2020-06-18,8873.695797075963
2020-06-26,8640.92719990006
2020-06-28,8546.097927578614
2020-06-30,10435.6370904454
2020-07-06,8406.348400690238
2020-07-10,8312.206978955623
2020-07-12,8267.81253327031
2020-07-24,8073.848647095077
2020-07-28,8094.255646843685
2020-08-02,7866.845859463195
2020-08-08,7755.480155460345
2020-08-09,7737.246651753213
2020-08-16,7610.060159880084
2020-08-18,7687.434200310365
2020-08-31,7358.8746354942095
2020-09-01,7342.651693341007
2020-09-08,7238.9512820605005
2020-09-13,7122.4902766504365
2020-09-25,6957.296173622072
2020-09-27,6890.621271798871
2020-10-13,6694.161521607179
2020-11-02,6344.006756438933
2020-11-05,6295.680398049482
2020-11-12,6206.576834115328
2020-11-17,6225.3240533096205
2020-11-28,5948.5611168318255
2021-01-01,5507.823771682208
2021-01-07,5462.2329981972825
2021-01-12,5385.643523050826
2021-01-28,5500.102247200422
2021-01-30,5124.406402393048
2021-02-05,5101.4704113631215
2021-02-12,6577.47572890283
2021-02-14,4946.942293658586
2021-03-08,4761.204887032007
2021-03-26,4559.568243572657
2021-04-01,4573.213364693832
2021-04-04,4403.362783150834
2021-04-05,4453.789148747455
2021-04-19,4327.672452026464
2021-04-26,4297.98760771205
2021-04-29,4155.1938482136875
2021-05-11,4069.700991129771
2021-05-13,4036.3357983038
2021-05-21,3958.4150932840034
2021-05-27,3925.4540330067666
2021-06-10,3800.145625094059
2021-06-20,3669.348728668662
2021-06-29,3614.1792355440975
2021-07-01,3651.960012151043
2021-07-07,3530.1602297950776
2021-07-10,3500.511274628849
2021-07-27,3382.3177534743813
2021-08-02,4204.565516959264
2021-08-18,3196.0338971615824
2021-08-26,3195.13369948445
2021-08-27,3187.180538815094
2021-08-31,3145.6621028707177
2021-09-09,3070.825014592398
2021-09-12,3007.2726839660904
2021-09-22,2962.32351617598
2021-10-15,2819.6018788644737
2021-10-19,2800.164231299212
2021-10-21,2743.9035845225567
2021-10-24,2723.409173205214
2021-11-13,2596.5465998374834
2021-11-17,2580.970989548982
2021-12-01,2515.1545747425803
2021-12-20,2398.1529727554616
2021-12-21,2381.9749057166923
2021-12-22,2400.6084968843984
2021-12-23,2389.704123305809
2021-12-25,2350.643373050134
2021-12-30,2344.092165558655
2022-01-01,2341.7765941154103
2022-01-12,2258.3573775896093
2022-01-16,2231.290304576749
2022-01-23,2194.715710342574
2022-02-09,2116.162005086305
2022-02-22,2051.1629102367624
2022-02-25,2048.484069818777
2022-02-28,2149.054992624047
2022-03-19,1926.717263851952
2022-03-23,1913.9430261054379
2022-03-29,1900.711572744325
2022-04-30,1744.3925578576552
2022-05-06,1734.4180485789727
2022-05-11,1704.2563744643103
2022-05-13,1696.3853184643413
2022-05-17,1683.7313578338053
2022-05-21,1659.4920011280765
2022-05-22,1655.89265039437
2022-05-30,1624.9016279196956
2022-06-10,1586.7184211237272
2022-06-13,1582.3806177949293
2022-07-04,1495.1228392619562
2022-07-05,1496.3298493439922
2022-07-25,1425.6059505751762
2022-07-28,1423.255663300477
2022-07-29,1424.1540213980115
2022-08-07,1380.9127220428334
2022-08-09,1388.2388679173657
2022-08-15,1362.1577782434829
2022-08-22,1333.8412944732268
2022-09-07,1289.2624497811653
2022-09-09,1281.0819831687643
2022-09-11,1269.610366803747
2022-09-13,1268.554663043278
2022-09-16,1260.186787851909
2022-09-23,1236.6456390225517
2022-10-14,1188.0203263337319
2022-10-17,1172.6502345046374
2022-10-28,1138.7793716890747
2022-11-03,1120.6910266889388
2022-11-07,1112.5371279638919
2022-11-19,1078.1612535391898
2022-11-29,1055.330019425925
2022-12-12,1027.6682664525558
2022-12-15,1020.8784784388251
2022-12-17,1008.8860400207119
2022-12-19,1007.6408139186958
2022-12-26,987.7556999426399
2022-12-27,985.7516680276971
2023-01-01,977.1423228709036
2023-01-10,956.0107428559046
2023-01-14,944.1564293986721
2023-01-18,941.4562306642138
2023-01-22,926.3401281016955
2023-01-28,913.2956227512199
2023-02-09,891.9718767251891
2023-02-15,879.6897312310557
2023-02-23,871.8198463588251
2023-02-24,859.766427323961
2023-03-18,815.4042219081392
2023-04-03,794.9260332831166
2023-04-08,773.6869027269393
2023-04-13,765.7669360143051
2023-04-16,759.2027256280767
2023-04-20,754.3281247545859
2023-04-27,742.683000149843
2023-05-03,889.2358722616289
2023-05-05,940.2594314220397
2023-05-07,722.2646587801302
2023-05-18,707.8286185559853
2023-05-22,700.8469641116047
2023-05-29,685.5193705999601
2023-05-31,696.7825766334286
2023-06-03,677.4658785679296
2023-06-06,694.4075291652929
2023-06-08,675.5032307375715
2023-06-13,679.8328110244211
2023-06-23,646.977354403466
2023-07-12,619.7960193337143
2023-07-20,622.2279280982583
2023-07-23,602.8633967439098
2023-07-26,605.7114443805908
2023-07-30,591.8748465537234
2023-08-03,593.4062405910506
2023-08-18,641.4344792299476
2023-08-20,563.0442474305875
2023-09-10,535.9794233840518
2023-09-12,539.6677358381423
2023-09-16,528.081803412871
2023-09-20,529.6746054750391
2023-09-26,516.8298981318593
2023-09-28,513.4083521312813
2023-09-29,512.0493792234029
